"Last updated","Type","Suburb","Venue","Date and time of exposure","Health advice"
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Australian Ramp and Access Solutions Albury67 Alexandra Street","6:30am to 2:45pm on Monday 11 October 20216:30am to 2:45pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","New Albury Hotel491 Kiewa Street","12am (midnight) to 2am on Saturday 9 October 20218:45pm to 11:59pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bellbird","Bellbird Hotel388 Wollombi Road","3:25pm to 4:30pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Charlestown","Commonwealth Bank Charlestown BranchShop 8024, Charlestown Square, 30 Pearson Street","1:05pm to 2:10pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Corrimal","Woolworths CorrimalLederer Corrimal Shopping Centre, 270 Princes Highway","7:50pm to 8:05pm on Wednesday 13 October 202111:40am to 12:10pm on Tuesday 12 October 202111:45am to 12:10pm on Wednesday 6 October 20215:45pm to 6:10pm on Saturday 2 October 20217:30am to 4:30pm on Thursday 30 September 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","East Maitland","Costis Seafood Market Cafe1 Molly Morgan Drive","9am to 5pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","East Maitland","Stockland Green Hills Shopping Centre1 Molly Morgan Drive","12:30pm to 1:35pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Erina","Big W ErinaErina Fair, Terrigal Drive","11:40am to 12:20pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairy Meadow","Officeworks Fairy Meadow145 Princes Highway","2:25pm to 2:35pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Figtree","The Reject Shop FigtreeShop 104/19 Princes Highway","12:50pm to 1:05pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Gilgandra","Shell Gilgandra101 Newell Highway Portion, Tooraweenah Road","9:15am to 9:30am on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kembla Grange","Bunnings Kembla Grange640 Northcliffe Drive","3pm to 3:30pm on Tuesday 12 October 20219:50am to 10:30am on Tuesday 5 October 202110:30am to 10:35am on Sunday 3 October 202110:40am to 11:15am on Saturday 2 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","Tristar Medical Group35 Belgrave Street","2:50pm to 3:20pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Nowra","Coles NowraKinghorne Street and Junction Street","5pm to 6pm on Friday 15 October 202110:50am to 11:20am on Friday 8 October 20213pm to 3:10pm on Thursday 7 October 20211:40pm to 2:45pm on Wednesday 29 September 202111:45am to 1:05pm on Wednesday 29 September 20211:15pm to 2pm on Tuesday 28 September 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
